# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma,g_psfflux_mag,g_psfflux_magsigma,r_psfflux_mag,r_psfflux_magsigma,i_psfflux_mag,i_psfflux_magsigma,object_id,g_psfflux_flag,r_psfflux_flag,i_psfflux_flag,g_cmodel_flag,r_cmodel_flag,i_cmodel_flag,g_pixelflags_edge,r_pixelflags_edge,i_pixelflags_edge,g_pixelflags_bad,r_pixelflags_bad,i_pixelflags_bad,g_pixelflags_interpolatedcenter,r_pixelflags_interpolatedcenter,i_pixelflags_interpolatedcenter,g_pixelflags_saturatedcenter,r_pixelflags_saturatedcenter,i_pixelflags_saturatedcenter,g_pixelflags_crcenter,r_pixelflags_crcenter,i_pixelflags_crcenter
221.98268008596122,44.08877537097149,18.8178711,0.000857637671,18.7831135,0.000666760723,18.8288956,0.00102498743,18.8238621,0.000808430836,18.7929573,0.000648137066,18.8478737,0.00102208136,70360381876363803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
224.88686132205058,4.2316270143900745,,,,,nan,nan,,,,,18.331398,0.000906987058,44442702376348556,,,False,,,True,,,True,,,False,,,False,,,False,,,False
225.10914882300523,-0.9078837897765373,20.2647495,0.00124837528,19.3288879,0.000839712739,18.7659149,0.000568676565,20.6136284,0.00133138697,19.6641502,0.000891099975,19.2009125,0.000618092308,41245442821874568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
238.31608591632298,44.10757129444599,19.5295525,0.00110392529,19.4576302,0.000909549708,19.2934837,0.000626136607,19.5329971,0.000944224012,19.4531326,0.000899504521,19.2884979,0.000621355139,70395566248461387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
343.724082076749,-1.1776680986673536,18.5553436,0.00121901731,18.4778214,0.00105235318,18.4986973,0.000715144211,18.5566063,0.00119921064,18.4746742,0.00103591394,18.499094,0.000711580156,41597282247789796,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.843965327477088,1.245790704200287,18.3817673,0.000893478515,18.0547523,0.000493414642,,,18.379467,0.000889212824,18.0382233,0.000489054481,,,41672070513310728,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
15.614647823487738,0.8602656796100605,18.3959541,0.00135861838,18.2855015,0.00108562503,,,18.4082184,0.00134056224,18.2840843,0.00107697782,,,41694601911736824,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
130.42859163206276,1.7962581795614363,19.0779438,0.000735858397,18.9444065,0.000714983966,18.7399826,0.000483624637,19.0731697,0.000699358992,18.9418221,0.000670604873,18.7427139,0.000480119284,43101826471446466,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133.31758786224606,1.3477935681082909,19.9456177,0.000873451703,nan,nan,nan,nan,19.9488277,0.000867710856,19.5003242,0.000837967964,19.1701565,0.000726185972,42041506420253475,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
142.2424325048157,1.7588731095643635,18.792511,0.00118868449,18.564209,0.00129833329,18.5916595,0.000527292374,18.7937126,0.00118240574,18.559864,0.0011687075,18.593235,0.000523255731,43137006548576953,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
